tag,frequency,fandom_specific,category
General Education Department Midoriya Izuku,6,TRUE,Fandom
Alpha Midoriya Izuku,5,TRUE,Fandom
Chaotic Nedzu (My Hero Academia),5,TRUE,Fandom
Shinsou Hitoshi is Bad at Feelings,5,TRUE,Fandom
Shiketsu High Student Midoriya Izuku,5,TRUE,Fandom
Kidnapped Midoriya Izuku,5,TRUE,Fandom
Hard of Hearing Bakugou Katsuki,5,TRUE,Fandom
Possessive Bakugou Katsuki,5,TRUE,Fandom
Worried Midoriya Inko,5,TRUE,Fandom
Sports Festival Arc (My Hero Academia),5,TRUE,Fandom
Yagi Toshinori | All Might Adopts Midoriya Izuku,5,TRUE,Fandom
Let Midoriya Izuku Swear,5,TRUE,Fandom
big brother hawks,5,TRUE,Fandom
Middle School Student Midoriya Izuku,5,TRUE,Fandom
Tsundere Bakugou Katsuki,5,TRUE,Fandom
Parental Takami Keigo | Hawks,5,TRUE,Fandom
Underground Hero Midoriya Izuku,5,TRUE,Fandom
BAMF Shinsou Hitoshi,5,TRUE,Fandom
Eri Needs a Hug (My Hero Academia),5,TRUE,Fandom
Protective Dabi | Todoroki Touya,5,TRUE,Fandom
Sick Midoriya Izuku,5,TRUE,Fandom
Abandoned Midoriya Izuku,5,TRUE,Fandom
Ashido Mina is a Good Friend,5,TRUE,Fandom
Supportive Dekusquad (My Hero Academia),5,TRUE,Fandom
Hatsume Mei & Midoriya Izuku Friendship,5,TRUE,Fandom
Todoroki Enji | Endeavor Bashing,5,TRUE,Fandom
Ghost Midoriya Izuku,5,TRUE,Fandom
Shinsou Hitoshi is a Little Shit,5,TRUE,Fandom
Minor Bakugou Katsuki/Kirishima Eijirou,5,TRUE,Fandom
Informant Midoriya Izuku,5,TRUE,Fandom
League of Villains Shenanigans (My Hero Academia),5,TRUE,Fandom
Midoriya Izuku Has Issues,4,TRUE,Fandom
Dead Midoriya Hisashi,4,TRUE,Fandom
Adopted Toga Himiko,4,TRUE,Fandom
Kirishima Eijirou is a Dork,4,TRUE,Fandom
Pro Hero Bakugou Katuski,4,TRUE,Fandom
Midoriya Izuku Whump,4,TRUE,Fandom
Young Midoriya Izuku,4,TRUE,Fandom
Shinsou Hitoshi is So Done,4,TRUE,Fandom
Deaf Midoriya Izuku,4,TRUE,Fandom
Bakugou Katsuki is a Good Significant Other,4,TRUE,Fandom
De-Aged Midoriya Izuku,4,TRUE,Fandom
Yagi Toshinori | All Might is a Good Teacher,4,TRUE,Fandom
Non-Binary Kaminari Denki,4,TRUE,Fandom
Pervert Mineta Minoru,4,TRUE,Fandom
Aizawa Shouta | Eraserhead Training Shinsou Hitoshi,4,TRUE,Fandom
BAMF Yaoyorozu Momo,4,TRUE,Fandom
Parental Sasaki Mirai | Sir Nighteye,4,TRUE,Fandom
Mineta Minoru Doesn't Exist,4,TRUE,Fandom
Nedzu Being an Asshole (My Hero Academia),4,TRUE,Fandom
Strong Midoriya Izuku,4,TRUE,Fandom
Bakugou Katsuki Whump,4,TRUE,Fandom
YouTuber Midoriya Izuku,4,TRUE,Fandom
Aizawa Shouta | Eraserhead is a Bad Teacher,4,TRUE,Fandom
Worried Aizawa Shouta | Eraserhead,4,TRUE,Fandom
Aizawa Shouta | Eraserhead and Yamada Hizashi | Present Mic Adopt Shinsou Hitoshi,4,TRUE,Fandom
Midoriya Izuku Adopts Eri,4,TRUE,Fandom
Todoroki Shouto is a Good Friend,4,TRUE,Fandom
Bisexual Disaster Kaminari Denki,4,TRUE,Fandom
Kurogiri is Shirakumo Oboro,4,TRUE,Fandom
Kaminari Denki is a Dork,4,TRUE,Fandom
